incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001470789,IAG CARGO,IBERIA,01/01/2021 00:11,03/01/2021 09:22,Closed,LINUX_sun - Parametro /LOGMON/CargaLimitPN0/LOGErrorLvl esta en CRITICAL. Valor: 3.00 mc_host=procl1,CARGO-PORTAL,Application Tower,CARGO,Media,3-Medio,"[Issue]: LINUX_sun - Parametro /LOGMON/CargaLimitPN0/LOGErrorLvl esta en CRITICAL. Valor: 3.00 mc_host=procl [Impact]: Aduanas process will stop processing FFM. [Analysis]:We have received P2 incident yesterday that is why this alert has triggered. [Step Taken to Resolve]: we have restarted the process just to check if all FFMs are processing ok without having issue. [Problem Ticket Required? (Yes, No).]:No [Can this incident be prevented? (Yes, No)]:No",Mantenimiento Cargo,INCIDENT,07/01/2021,PERFORMANCE ISSUE,,2,SIN IDENTIFICAR,
INC000001470794,IBERIA,IBERIA,01/01/2021 03:11,01/01/2021 10:00,Closed,LINUX_sun - Parametro /BEAWLS_J2EE_APPS/AdminServer_CPLEX^AdminServer^J2EEApplications^wls-wsat/Acti,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,The incident came during the time of auto restart after the restart the server is up and running fine,Unidad de Operaciones Ordenadores,INCIDENT,05/01/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001470799,IBERIA,IBERIA,01/01/2021 04:10,04/01/2021 11:00,Closed,LINUX_sun - Fichero del proceso ITA 19 no encontrado. Avisar On-Call Gesing 1/01/21 3:57 added by m,GESING,Application Tower,REVENUE MANAGEMENT,Media,3-Medio,"Fallan los procesos shel_envio_ITA.sh y agregados.sh debido a que la carpeta /ODIB/ITA/ficheros se ha eliminado. Se crea la carpeta y solicita a Resiver reenviar el fichero SSIM. Posteriormente, los procesos funcionan OK.",Mantenimiento Pasaje,INCIDENT,08/01/2021,PERFORMANCE ISSUE,,3,SIN IDENTIFICAR,
INC000001470802,IBERIA,IBERIA,01/01/2021 04:51,11/01/2021 17:23,Closed,"LINUX_ibm - El job: R50O403 con OrderID: 5bdvy del DataCenter: CTM_SERVER en la maquina: zlc, Aplic",USCIBMAM,Application Tower,Cobol Domain,Baja,4-Baja,Issue: Fallo R50O403 Impact. Bajo Root causes: Fallo por ficheros existentes. Steps taken: Se renombran y relanza el proceso,Mantenimiento COBOL,INCIDENT,15/01/2021,SOFTWARE FAILURE,,10,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001470804,IBERIA,IBERIA,01/01/2021 04:58,03/01/2021 03:55,Closed,LINUX_ibm - dstagel.ib : CPU used by users is 91.65%. Call Out to SOPORTE LINUX-SISTEMA OPERATIVO On,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,3-Medio,"CPU utilization reduced below threshold limit dstagel:/ # top top - 03:55:29 up 69 days, 2:26, 1 user, load average: 0.02, 0.09, 0.20 Tasks: 263 total, 1 running, 262 sleeping, 0 stopped, 0 zombie Cpu(s): 0.6%us, 0.2%sy, 0.0%ni, 99.2%id, 0.1%wa, 0.0%hi, 0.0%si, 0.0%st Mem: 12174796k total, 11157864k used, 1016932k free, 484844k buffers Swap: 9437176k total, 10840k used, 9426336k free, 7700496k cached",Unidad de Operaciones Ordenadores,INCIDENT,07/01/2021,PERFORMANCE ISSUE,,2,SIN IDENTIFICAR,
INC000001470808,IBERIA,IBERIA,01/01/2021 06:46,02/01/2021 14:58,Closed,LINUX_sun - Parametro /ORACLE_TBSP_INSTANCE/iagoim1_PROIDM_OIM_LOB/AutoExtended esta en WARNING. Val,DBA-Server-Support,Server Tower,Server Tower,Media,3-Medio,Issue: Table space alert. Analysis: The table space has been resized. Impact: No impact. Resolution: The table space has been resized(autoextended). Problem Ticket Required? No Preventive action required? No.,Unidad de Operaciones Ordenadores,INCIDENT,06/01/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
INC000001470810,IBERIA,IBERIA,01/01/2021 08:30,01/01/2021 20:45,Closed,JDBC Error connection in Cora Server.,MOVILIDAD,Application Tower,Movilidad,Alta,2-Alta,We have restarted our JBOSS server and verified the logs there is no JDBC connection error. Hence we are closing the incident,Mantenimiento Movilidad,INCIDENT,05/01/2021,DEFAULT,DEFAULT,0,SIN IDENTIFICAR,
INC000001470812,IBERIA,IBERIA,01/01/2021 08:46,01/01/2021 13:24,Closed,TKTNU ERROR EN T7BSPT,TKT,Application Tower,PSS,Media,3-Medio,[TKT] AR modified to not to report. Will be corrected and reported on Monday 4th Jan.,Mantenimiento Pasaje,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,MANDOS,
INC000001470814,IAG CARGO,IAG CARGO,01/01/2021 08:41,01/01/2021 09:15,Closed,[SGAR] Sistema no gestiona órdenes,SSCCLMZ,Service Ops Tower,Service Ops Tower,Alta,2-Alta,"[SC] Contactamos con Ferrovial y confirmamos que gestión de ULDs esta caído, lo levantamos y caen las comunicaciones de Importación y exportación. Acordamos en esperar. [SC] Comprobamos que todas las comunicaciones están en verde. Se verifica que todo está correcto.",Unidad Control del Servicio,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,SIN IDENTIFICAR (MADRID BARAJAS),
INC000001470816,IBERIA,IBERIA,01/01/2021 08:55,01/01/2021 11:20,Closed,"LINUX_ibm - El job: R05O780 con OrderID: 5c26e del DataCenter: CTM_SERVER en la maquina: zlc, Aplica",VUELOS,Application Tower,Cobol Domain,Baja,4-Baja,"ERROR ACCESO A TABLA TBDPCVA: CVA-IDEC =9;CVA-CODVAL =W ************************************************ *** CANCELACION POR ERROR GRAVE EN R05T782 ** ************************************************ *** NOMBRE PARRAFO : 2300-ACCESO-BDPCVA *** ERROR DE DB2 EN ACCESO A TABLA *** *** ERROR EN LA TABLA : TBDPCVA *** SQLCODE ERROR : 100 *** MENSAJE DE ERROR : *** *** ERROR ACCESO A TABLA TBDPCVA: CVA-IDEC =9;CVA-CODVAL =W *** *** ************************************************ Se relanza desde la descarga de la DOI, STEP00001_PASO010",Mantenimiento COBOL,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001470817,IBERIA,IBERIA,01/01/2021 09:05,04/01/2021 06:42,Closed,"We have an error ""java.lang.OutOfMemoryError: GC overhead limit exceeded"" in Documentum",TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,The server is up and running fine.,Unidad de Operaciones Ordenadores,INCIDENT,08/01/2021,PROCESS FAILURE,,3,SIN IDENTIFICAR,
INC000001470819,IBERIA,IBERIA,01/01/2021 09:00,01/01/2021 11:23,Closed,"LINUX_ibm - El job: D18OXTKT con OrderID: 5c2lo del DataCenter: CTM_SERVER en la maquina: zlc, Apli",Gcomercial,Application Tower,Cobol Domain,Baja,4-Baja,"INC000001470821 - Fichero ED10.LNODFBG.A2101 no recibido Una vez recibido el fichero, se relanza y finaliza ok.",Mantenimiento COBOL,INCIDENT,05/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001470821,IBERIA,IBERIA,01/01/2021 09:04,01/01/2021 12:20,Closed,Fichero ED10.LNODFBG.A2101 no recibido,GESING,Application Tower,REVENUE MANAGEMENT,Alta,2-Alta,El proceso que genera el fichero ED10.LNODFBG.A2101 tarda un poco mas que habitualmente. Se revisa que no tiene errores y finaliza OK,Mantenimiento Pasaje,INCIDENT,05/01/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001470825,IBERIA,IBERIA,01/01/2021 10:06,01/01/2021 14:52,Closed,Incidencia RES - ENVIO FICHEROS ITA-MULTINUCLEO,RSV,Application Tower,PSS,Media,3-Medio,"[RSV] As confirmed by Eduardo, it was a problem that the folder did not exist in the FTP server. He created it and the files were resent. Closing the incidence. Attached is the email confirmation.",Mantenimiento Pasaje,INCIDENT,05/01/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001470827,IBERIA,IBERIA,01/01/2021 10:17,01/01/2021 10:17,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001470828,IBERIA,IBERIA,01/01/2021 11:37,01/01/2021 11:37,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,EDIF.101 - HANGAR 3,TMA PROD LINEA MAD (AMNLL0GC)
INC000001470831,IBERIA,IBERIA,01/01/2021 11:11,01/01/2021 11:11,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TERMINAL T4,ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000001470832,IBERIA,IBERIA,01/01/2021 12:44,01/01/2021 12:44,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TERMINAL T4,ASIST.PAX T4_TRA_SER. AUX (AHMDST4E)
INC000001470834,IBERIA,IBERIA,01/01/2021 12:19,11/01/2021 09:20,Closed,Control-M Server: Shout by orderno: 0005c1wu D50O10TE Mail message from CONTROL-M: HA FALLADO EL,USCIBMAM,Application Tower,Cobol Domain,Baja,4-Baja,"Issue: Falla el proceso por fichero vacío. Impact: Sin impacto. Root Cause: Se produce ese error porque no hay datos para tratar. Steps Taken: Se solicita borrar el proceso fallado y todos los que dependen de él, además de crear la condición del R00O17TE con el odate correcto.",Mantenimiento COBOL,INCIDENT,15/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,10,SIN IDENTIFICAR,
INC000001470835,IBERIA,IBERIA,01/01/2021 12:23,12/01/2021 11:22,Closed,Control-M Server: Shout by orderno: 0005c41f A60IGGR1 Mail message from CONTROL-M: Ha fallado el,USCIBMAM,Application Tower,Cobol Domain,Baja,4-Baja,"Issue: Falla el proceso por un error de odate, ya que no existe el fichero de entrada para el odate generado pero sí para el del día en curso, que es el correcto. Impact: Sin impacto final. Root Cause: Hay algún problema en control-m con la generación del odate correcto por planificación. Steps Taken: Una vez comprobada la existencia del fichero con el odate correcto, se pide a planificación cargarlo y lanzarlo con el odate correcto y se borra el fallado con el odate erróneo.",Mantenimiento COBOL,INCIDENT,16/01/2021,SOFTWARE FAILURE,APPLICATION ERROR,11,SIN IDENTIFICAR,
INC000001470838,IBERIA,IBERIA,01/01/2021 13:21,04/01/2021 13:42,Closed,LINUX_ibm - Error Reprocesos_PKG_DMC_QUICKWINS_DAILY_BKGS mc_host=odiagorl1 mc_host_class=Linux m,Aplicaciones BI,Application Tower,BI,Media,3-Medio,,Mantenimiento BI,INCIDENT,08/01/2021,PROCESS FAILURE,,3,SIN IDENTIFICAR,
INC000001470839,IBERIA,IBERIA,01/01/2021 13:48,01/01/2021 13:48,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MANAGER CLIENTES ALTO VAL (ALCO00)
INC000001470841,IBERIA,IBERIA,01/01/2021 13:53,01/01/2021 13:53,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001470843,IBERIA,IBERIA,01/01/2021 16:42,01/01/2021 21:42,Closed,[GEO004] No actualiza datos.,MOVILIDAD,Application Tower,Movilidad,Alta,2-Alta,There was a memory issue in DB server( where the database is deployed).Due to memory unavailability to establish connection the JDBC connection error occurred for APPCIC application.The Lunix team cleared some space and restarted the DB server .With this we restarted our application servers to establish connection with database,Mantenimiento Movilidad,INCIDENT,05/01/2021,SOFTWARE FAILURE,,0,TERMINAL T4,JEFE EXPLOTACIÓN (AH1001JF)
INC000001470844,IBERIA,IBERIA,01/01/2021 15:27,01/01/2021 15:27,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,TERMINAL T4,ASIST.PAX T4_TRA_AG. (AHMDST4A)
INC000001470845,IBERIA,IBERIA,01/01/2021 15:25,01/01/2021 15:25,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/01/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (NUEVA ZONA INDUSTRIAL),MAINTROL (AMNLR00C)
INC000001470849,IBERIA,IBERIA,01/01/2021 15:41,02/01/2021 11:34,Closed,LINUX_sun - Actualizacion de Vistas Materializadas de CICLOPEHUB mc_host=procl1 mc_host_class=Linux,Flight OPS IB,Application Tower,FLIGHT OPERATIONS,Media,3-Medio,"ACCIONES: no se estaban recibiendo mensajes CDM desde aeropuertos, una vez que comienzan a llegar dichos mensajes las vistas se actualizan correctamente. PRUEBAS: no aplica. IMPACTO: sin impacto.",Mantenimiento Operaciones,INCIDENT,06/01/2021,PERFORMANCE ISSUE,,1,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001470853,IBERIA,IBERIA,01/01/2021 00:07,02/01/2021 14:59,Closed,LINUX_ibm - Parametro /ORACLE_TBSP_INSTANCE/PROS1_FE_LRG_IDX01/AutoExtended esta en WARNING. Valor:,DBA-Server-Support,Server Tower,Server Tower,Media,3-Medio,Issue: Table space alert. Analysis: The table space has been resized. Impact: No impact. Resolution: The table space has been resized(autoextended). Problem Ticket Required? No Preventive action required? No.,Unidad de Operaciones Ordenadores,INCIDENT,06/01/2021,PERFORMANCE ISSUE,,1,SIN IDENTIFICAR,
