incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident description,support group,tower group,domain group,priority,urgency,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001484435,IBERIA,IBERIA,01/02/2021 01:00,01/02/2021 01:00,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,04/02/2021,ACCESS FAILURE,PASSWORD RESET,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA LARGO RA (ABLY00)
INC000001484441,IBERIA,IBERIA,01/02/2021 00:07,01/02/2021 04:43,Closed,Problemas de conectividad:Alarma SAD SW CPD HAG,Conectividad de red,Network Tower,Network Tower,Media,3-Medio,"RFO: There was a programmed work that generated the alarms, now we do not have any active alarm on SAD.",Unidad de Instalaciones y Telecomunicaciones,INCIDENT,05/02/2021,COMMUNICATIONS FAILURE,,0,SIN IDENTIFICAR,
INC000001484446,IBERIA,IBERIA,01/02/2021 01:59,01/02/2021 01:59,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,04/02/2021,ACCESS FAILURE,PASSWORD RESET,0,NEO-MARTINEZ VILLERGAS 49,NETWORK & CONNECTIONS SUP (ALS000AP)
INC000001484447,IBERIA,IBERIA,01/02/2021 01:10,01/02/2021 09:55,Closed,LINUX_sun - Parametro /BEAWLS_J2EE_APPS/cargo1^cargo1^wls-wsat/ActiveVersionState esta en CRITICAL.,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Media,3-Medio,The incident came during the time of auto restart after the restart the server is up and running fine.,Unidad de Operaciones Ordenadores,INCIDENT,05/02/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001484449,IBERIA,IBERIA,01/02/2021 02:21,01/02/2021 09:24,Closed,LINUX_sun - ibcjbwww1.ib : Filesystem var is occupied 80.02%. Call out to SOPORTE LINUX-SISTEMA OPER,Soporte Linux - Sistema Operativo,Server Tower,Server Tower,Media,3-Medio,ibcjbwww1:/root # df -TPh /var Filesystem Type Size Used Avail Use% Mounted on /dev/mapper/localVG-lv_var ext4 3.5G 1013M 2.3G 31% /var,Unidad de Operaciones Ordenadores,INCIDENT,05/02/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001484450,IBERIA,IBERIA,01/02/2021 03:30,01/02/2021 10:09,Closed,LINUX_sun - ibcdwl1.ib : Perdida de conexion con servidor de WebLogic ibcom_A1^ibcom_A1. Avisar a BB,TSSUNUNISYS-BBDD,Server Tower,Server Tower,Baja,4-Baja,The incident came during the time of auto restart after the restart the server is up and running fine.,Unidad de Operaciones Ordenadores,INCIDENT,05/02/2021,PERFORMANCE ISSUE,,0,SIN IDENTIFICAR,
INC000001484485,IBERIA,IBERIA,01/02/2021 01:32,09/02/2021 10:11,Closed,SCOM - Windows on aptweb121-c82dec5a-b5e1-4ccd-95ba-70d1410329ab_PrincipalName : APTWEB121.iberia.ib,WINDOWS ES,Server Tower,Server Tower,Baja,4-Baja,[ES] As per ops confirmation we are closing this ticket.,Unidad de Operaciones Ordenadores,INCIDENT,13/02/2021,PERFORMANCE ISSUE,,8,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001484488,IBERIA,IBERIA,01/02/2021 02:09,01/02/2021 10:48,Closed,Contraseña IBTERM bloqueada proseg.pafernand,CSUSAS,Server Tower,Server Tower,Baja,4-Baja,[CSUSAS] Se hace reset en TSA y se envía correo,Unidad de Operaciones Ordenadores,INCIDENT,05/02/2021,ACCESS FAILURE,PASSWORD,0,SIN IDENTIFICAR,
INC000001484492,IBERIA,IBERIA,01/02/2021 05:37,01/02/2021 05:37,Closed,Nómina reset,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Procedemos al reinicio de la contraseña del usuario tras seguir el proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/02/2021,ACCESS FAILURE,PASSWORD RESET,0,BCN AEROPUERTO,TMA JEFE MECANICA (AMNLB0AA)
INC000001484493,IBERIA,IBERIA,01/02/2021 05:38,01/02/2021 05:38,Closed,Requiere nueva contraseña,SSI,Service Ops Tower,Service Ops Tower,Baja,4-Baja,Se informa al usuario del proceso de seguridad.,Unidad Control del Servicio,INCIDENT,05/02/2021,ACCESS FAILURE,PASSWORD RESET,0,BCN AEROPUERTO,MNG. CTROL OPERATIVO Y CO (AHABC0)
