incident code,customer company group,customer company,create date-time,resolution date-time,incident status,incident descriptio,support group,tower group,domain group,priority,resolution description,assigned organization,inc.category,last modified date,inc type,inc element,aging,localizacion cliente,departamento cliente
INC000001496398,IBERIA,IBERIA,01/03/2021 13:09,,Assigned,Restablecer links de TPP de Israel y PRNGOV de tripulantes,SYS,Application Tower,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001496394,IBERIA,IBERIA,01/03/2021 13:07,,Assigned,"BATAP de producción a PRE atascado, el PID 59642 acumula mensajes",SYS,Application Tower,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,DEFAULT,,0,SIN IDENTIFICAR,
INC000001496393,IBERIA,IBERIA,01/03/2021 13:08,,Pending,SIC011:ERROR EN PROCESO DAILY mc_host=procapl1 mc_host_class=Linux mc_host_address=172.2,Aplicaciones BI,Application Tower,BI,Media,Pendiente de finalización proceso previo,Mantenimiento BI,INCIDENT,01/03/2021,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496390,IBERIA,IBERIA,01/03/2021 13:03,,Assigned,LINUX_sun - 1070_prd_ibcom::Dynatrace::DisruptionResource::FAILURE_RATE_INCREASED https://jpb19010.,AM_MTO_IBIS,Application Tower,Ib.com,Media,,MANTENIMIENTO IB.COM,INCIDENT,01/03/2021,PERFORMANCE ISSUE,,0,MANDOS,U.OPERACIONES ORDENADORES (ASXA00)
INC000001496389,IBERIA,IBERIA,01/03/2021 13:18,,Assigned,Fallo Peoplesoft: NO SE ESTAN DESCONTANDO LOS LIQUIDOS NEGATIVOS DE FEBRERO EN LA NOMINA DE MARZO,PeopleSoft Apps Support,Application Tower,RRHH,Media,,Mantenimiento Corporativa y RRHH,INCIDENT,01/03/2021,DATA ISSUE,,0,NEO-MARTINEZ VILLERGAS 49,NÓMINA (3YRN00)
INC000001496385,IBERIA EXPRESS,IBERIA EXPRESS,01/03/2021 13:28,,Assigned,Fallo mail,MICROSOFT OFFICE365,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR,
INC000001496380,IBERIA,IBERIA,01/03/2021 12:51,,In Progress,Error envió MONTHLY INCIDENTS,Aplicaciones BI,Application Tower,BI,Baja,,Mantenimiento BI,INCIDENT,01/03/2021,PROCESS FAILURE,BATCH,0,SIN IDENTIFICAR,MNG. SOPOR. APLI. Y CENT. (ASXAG1)
INC000001496376,IBERIA,IBERIA,01/03/2021 12:58,,Assigned,Error en Pantalla de Transitos,IAG EUC Remote Support,EUC,EUC,Media,,Unidad de Instalaciones y Telecomunicaciones,INCIDENT,01/03/2021,HARDWARE FAILURE,,0,TERMINAL T4,ASIST.PAX T4_TRA_SPV (AHMDST4V)
INC000001496369,IBERIA,IBERIA,01/03/2021 12:28,,Assigned,Fallo en Iberia Now,MOVILIDAD,Application Tower,Movilidad,Baja,,Mantenimiento Movilidad,INCIDENT,01/03/2021,SOFTWARE FAILURE,,0,SIN IDENTIFICAR (VUELO),GESTOR DE FLOTA CM RADIO (ABRW00)
INC000001496368,IBERIA,IBERIA,01/03/2021 12:26,,In Progress,ITA disonnection in AVS,MIDDLEWARE PSS,Delivery,PSS,Baja,,Mantenimiento Pasaje,INCIDENT,01/03/2021,COMMUNICATIONS FAILURE,INTERNET ACCESS,0,,
